code,name
 MPS-003, India: Democracy and Development
 MPS-001, Political Theory
 MPS-002, International Relations: Problems & Theory
 MPS-004, Comparative Politics: Issues and Trends
 MGP-004, Gandhi's Political Thought
 MGPE-010," Conflict Management, Transformation and Peace Building"
 MGPE-011, Human Security
 MGPE-013," Civil Society, Political Regimes and Conflicts"
 MPSE-003, Western Political Thought
 MPSE-004, Social and Political Thought in Modern India
 MPSE-001, India and the World
 MPSE-002, State and Society in Latin America
 MPSE-005, State and Society in Africa
 MPSE-006, Peace and Conflict Studies
 MPSE-007, Social Movements and Politics in India
 MPSE-008, State Politics in India
 MPSE-009, Canada: Politics and Society
 MPSE-010, Dissertation (Optional)
 MPSE-011, The European Vision in World Affairs
 MPSE-012, State and Society in Australia
 MPSE-013, Australia's Foreign Policy
 MED-002, Sustainable Development: Issues and Challenges
 MGPE- 007, Non-violence Movements after Gandhi
 MGPE- 008, Gandhian Approach to Peace and Conflict Resolution
 MED-008, Globalisation and Environment
